17,128,159,40,19,0
-1055.078,103.1354,red,35
5233.463,343.3438,red,55
6029.005,196.625,red,55
5940.974,571.5729,red,55
5699.703,-109.8542,red,55
5204.12,-41.38544,red,55
5601.891,490.0625,red,55
6645.224,-135.9375,red,55
5856.203,913.9166,red,55
6527.849,776.9791,red,55
5425.828,803.0625,red,55
6565.344,-1032.083,blue,40
5998.031,-1723.292,blue,40
5411.156,-569.1042,white,40
5645.906,-2557.958,white,40
6708.802,-1971.083,white,40
6281.828,-3039.688,yellow,30
4866.297,-395.9062,30,30,0
4729.141,-724.25,30,30,0
4783.172,-603.7188,30,30,0
4787.328,-503.9688,30,30,0
4658.484,-907.125,30,30,0
4680.823,-875.5833,30,30,0
4674.302,-1032.083,30,30,0
4680.823,-1221.188,30,30,0
4680.823,-1221.188,30,30,0
4687.344,-1436.375,30,30,0
4687.344,-1449.417,30,30,0
4693.864,-1579.833,30,30,0
4693.864,-1684.167,30,30,0
4700.385,-1729.813,30,30,0
4700.385,-1775.458,30,30,0
4700.385,-1873.271,30,30,0
4687.344,-1971.083,30,30,0
4687.344,-2049.333,30,30,0
4687.344,-2108.021,30,30,0
4687.344,-2199.313,30,30,0
4693.864,-2277.563,30,30,0
4693.864,-2355.813,30,30,0
4693.864,-2421.021,30,30,0
4693.864,-2505.792,30,30,0
4693.864,-2590.563,30,30,0
4687.344,-2668.813,30,30,0
4667.781,-2779.667,30,30,0
4680.823,-2890.521,30,30,0
4687.344,-2949.208,30,30,0
4687.344,-2962.25,30,30,0
5369.328,83.87512
5538.859,97.43738
5504.953,205.9376
5410.016,497.5313
5688.047,653.5001
5796.547,389.0314
5979.641,422.9374
6203.422,667.0624
6189.859,721.3125
6556.047,409.3751
6562.828,158.4686
5945.734,-1292.719
5301.516,-1842
6149.172,-2404.844
6284.797,-2323.469
6379.734,-1869.125
6379.734,-1848.781
6291.578,-1346.969
6094.922,-1021.469
6149.172,-851.9374
6929.016,-879.0626
7125.672,-1319.844
6922.234,-1401.219
6623.859,-1408
6339.047,-1021.469
6250.891,-485.7499
6216.984,-485.7499
5986.422,-709.5311
5925.391,-879.0626
5850.797,-1055.375
5735.516,-1062.156
5613.453,-1048.594
5498.172,-1028.25
5416.797,-1191
5593.109,-1326.625
5796.547,-1475.813
5579.547,-1713.156
5484.609,-1801.313
5552.422,-1950.5
6305.141,-2133.594
6298.359,-2343.813
6311.922,-2472.656
6569.609,-2662.531
7037.516,-2710
7098.547,-2547.25
7105.328,-2228.531
7098.547,-2126.813
7017.172,-1936.938
6644.203,-1780.969
6393.297,-2011.531
6447.547,-2079.344
6630.641,-2140.375
6786.609,-2133.594
6901.891,-1808.094
6840.859,-1455.469
6854.422,-1252.031
6854.422,-967.2188
6752.703,-736.6564
6515.359,-743.4375
6284.797,-1089.281
6278.016,-1231.688
6257.672,-1279.156
6162.734,-1319.844
5877.922,-1184.219
5721.953,-1089.281
5525.297,-1014.687
5437.14,-1014.687
5362.547,-1089.281
5281.172,-1462.25
5281.172,-1563.969
5294.734,-1686.031
5403.234,-1787.75
5674.484,-1875.906
5871.141,-1923.375
6115.266,-2031.875
6081.359,-2099.688
5972.859,-2153.938
5613.453,-2262.438
5593.109,-2289.563
5552.422,-2337.031
5552.422,-2459.094
5559.203,-2730.344
5749.078,-2750.688
6264.453,-2771.031
6345.828,-2621.844
6481.453,-2587.938
6786.609,-2879.531
6623.859,-2906.656
6223.766,-2757.469
6047.453,-2479.438
5972.859,-2411.625
5959.297,-2452.313
6155.953,-2648.969
6237.328,-2682.875
6739.141,-2655.75
6813.734,-2601.5
6820.516,-2540.469
6712.016,-2472.656
6569.609,-2343.813
6454.328,-2079.344
6203.422,-1604.656
6183.078,-1502.938
6176.297,-1475.813
6067.797,-1313.063
5877.922,-1692.813
5376.109,-1584.313
5287.953,-1421.563
5131.984,-1007.906
5179.453,-797.6876
5443.922,-879.0626
5518.516,-845.1563
5599.891,-750.2186
5667.703,-709.5311
5715.172,-485.7499
5721.953,-451.8439
4338.891,52.25
3135.641,160.7499
2986.266,-63.03137
2698.14,493.0314
1766.828,153.9688
780.3901,581.7189
880.3591,43.21875
2048.234,-43.875
1251.328,-315.1249
-777.5159,64.62488
-689.3596,51.06262
-628.3284,51.06262
-594.4221,71.40637
-506.2659,64.62488
-485.9221,64.62488
-452.0159,64.62488
-302.8284,78.1875
-255.3594,84.96863
-201.1096,84.96863
-99.39087,84.96863
-38.35962,84.96863
70.14038,91.75012
144.7344,91.75012
205.7654,105.3124
253.2344,112.0939
456.6714,112.0939
666.8904,105.3124
741.4839,98.53125
822.8594,98.53125
890.6716,98.53125
-757.1721,207.0311
-458.7971,213.8126
-194.3281,213.8126
368.5156,200.25
687.2339,227.3749
911.0151,227.3749
-777.5159,-57.43762
-438.4534,-43.875
-24.79688,-43.875
63.35889,-23.53125
341.3901,-16.75012
517.7026,-23.53125
843.2029,57.84375
1005.953,-104.9063
-807.1876,344.125,blue,35,0,-1,15
-634.6875,344.125,blue,35,0,-1,15
-415.3125,342.25,blue,35,0,-1,15
-115.3125,347.875,blue,35,0,-1,15
134.0626,357.25,blue,35,0,-1,15
323.4375,357.25,blue,35,0,-1,15
469.6875,357.25,blue,35,0,-1,15
878.4374,351.625,blue,35,0,-1,15
-728.4376,-77.75,white,35,0,1,15
-533.4374,-81.49998,white,35,0,1,15
-263.4375,-79.62502,white,35,0,1,15
25.31256,-79.62502,white,35,0,1,15
246.5625,-70.24998,white,35,0,1,15
411.5624,-75.87498,white,35,0,1,15
687.1875,-83.375,white,35,0,1,15
1104.766,326.052,white,35,0,1,15
1417.474,132.6667,white,35,0,1,15
1808.359,-134.7813,white,35,0,1,15
1730.182,375.427,white,35,0,1,15
2314.453,58.60423,white,35,0,1,15
2347.37,-143.0104,white,35,0,1,15
1165.719,-126.75,white,35,0,1,25
1827.281,110.5,white,35,0,1,25
1466.844,516.5626,white,35,0,1,25
2283.531,402.5,white,35,0,1,25
3642.13,258.0832,white,35,0,1,25
3436.464,142.3957,white,35,0,1,25
3166.526,412.3332,white,35,0,1,25
2819.463,148.823,white,35,0,1,25
4278.411,-217.5209,white,35,0,1,25
4593.338,502.3125,white,35,0,1,25
3436.464,-88.97912,white,35,0,1,25
3095.828,-88.97912,white,35,0,1,20
2607.37,303.073,white,35,0,1,20
3532.87,399.4793,white,35,0,1,20
3815.662,90.97926,white,35,0,1,20
4233.422,213.0938,white,35,0,1,20
4014.901,418.7605,white,35,0,1,20
2607.37,-31.13537,white,35,0,1,20
2093.203,206.6668,white,35,0,1,20
7126.136,-1429.854
7002.24,-953.8333
6695.76,-1403.771
5652.427,-862.5417
5463.323,-1501.583
5893.698,-2108.021
6356.677,-1540.708
6271.906,-575.625
6813.135,-2147.146
6976.156,-1684.167
5195.969,-2518.833
5274.219,-1058.167
6089.323,-1155.979
5952.385,-419.125
6943.552,-529.9792
6734.886,-2473.188
5632.864,617.6875
3291.885,598.125
1857.302,663.3333
